latitude,longitude,population,median_house_value
37.88,-122.23,322.0,452600.0
37.86,-122.22,2401.0,358500.0
37.85,-122.24,496.0,352100.0
37.85,-122.25,558.0,341300.0
37.85,-122.25,565.0,342200.0
37.85,-122.25,413.0,269700.0
37.84,-122.25,1094.0,299200.0
37.84,-122.25,1157.0,241400.0
37.84,-122.26,1206.0,226700.0
37.84,-122.25,1551.0,261100.0
37.85,-122.26,910.0,281500.0
37.85,-122.26,1504.0,241800.0
37.85,-122.26,1098.0,213500.0
37.84,-122.26,345.0,191300.0
37.85,-122.26,1212.0,159200.0
37.85,-122.26,697.0,140000.0
37.85,-122.27,793.0,152500.0
37.85,-122.27,648.0,155500.0
37.84,-122.26,990.0,158700.0
37.84,-122.27,690.0,162900.0
37.85,-122.27,409.0,147500.0
37.85,-122.27,929.0,159800.0
37.84,-122.27,1015.0,113900.0
37.84,-122.27,853.0,99700.0
37.84,-122.27,1006.0,132600.0
37.85,-122.28,317.0,107500.0
37.85,-122.28,607.0,93800.0
37.85,-122.28,1102.0,105500.0
37.84,-122.28,1131.0,108900.0
37.84,-122.28,395.0,132000.0
37.84,-122.28,863.0,122300.0
37.84,-122.28,1168.0,115200.0
37.84,-122.27,1026.0,110400.0
37.83,-122.27,754.0,104900.0
37.83,-122.27,1258.0,109700.0
37.83,-122.27,570.0,97200.0
37.83,-122.27,987.0,104500.0
37.83,-122.28,901.0,103900.0
37.83,-122.26,689.0,191400.0
37.83,-122.26,1377.0,176000.0
37.83,-122.26,946.0,155400.0
37.83,-122.26,517.0,150000.0
37.84,-122.26,462.0,118800.0
37.84,-122.26,467.0,188800.0
37.83,-122.26,660.0,184400.0
37.83,-122.26,718.0,182300.0
37.83,-122.26,616.0,142500.0
37.82,-122.27,558.0,137500.0
37.82,-122.26,423.0,187500.0
37.82,-122.27,700.0,112500.0
37.82,-122.27,735.0,171900.0
37.82,-122.27,1061.0,93800.0
37.82,-122.27,1959.0,97500.0
37.82,-122.27,1162.0,104200.0
37.82,-122.28,701.0,87500.0
37.82,-122.28,576.0,83100.0
37.82,-122.28,622.0,87500.0
37.82,-122.28,728.0,85300.0
37.82,-122.28,1074.0,80300.0
37.82,-122.29,94.0,60000.0
37.83,-122.29,554.0,75700.0
37.82,-122.29,86.0,75000.0
37.81,-122.29,377.0,86100.0
37.81,-122.3,521.0,76100.0
37.81,-122.3,392.0,73500.0
37.81,-122.3,604.0,78400.0
37.81,-122.3,788.0,84400.0
37.8,-122.29,492.0,81300.0
37.81,-122.3,274.0,85000.0
37.81,-122.29,1823.0,129200.0
37.81,-122.29,392.0,82500.0
37.81,-122.29,582.0,95200.0
37.81,-122.29,560.0,75000.0
37.81,-122.29,18.0,67500.0
37.81,-122.29,290.0,137500.0
37.81,-122.28,762.0,177500.0
37.81,-122.28,1236.0,102100.0
37.81,-122.28,721.0,108300.0
37.81,-122.29,1054.0,112500.0
37.8,-122.28,344.0,131300.0
37.81,-122.28,609.0,162500.0
37.81,-122.27,183.0,112500.0
37.81,-122.28,200.0,112500.0
37.81,-122.28,346.0,137500.0
37.81,-122.28,467.0,118800.0
37.81,-122.28,377.0,98200.0
37.81,-122.27,582.0,118800.0
37.81,-122.27,546.0,162500.0
37.8,-122.27,125.0,137500.0
37.8,-122.27,396.0,500001.0
37.8,-122.27,800.0,162500.0
37.8,-122.28,904.0,137500.0
37.8,-122.28,191.0,162500.0
37.79,-122.27,718.0,187500.0
37.8,-122.27,1327.0,179200.0
37.8,-122.26,3469.0,130000.0
37.82,-122.26,2048.0,183800.0
37.81,-122.26,202.0,125000.0
37.82,-122.26,2024.0,170000.0
37.82,-122.26,1838.0,193100.0
32.8,-117.04,630.0,146700.0
38.89,-121.29,407.0,110800.0
33.77,-118.15,1312.0,266300.0
33.99,-118.47,665.0,500001.0
37.33,-121.77,1675.0,348400.0
33.97,-118.5,1157.0,500001.0
38.26,-122.96,308.0,240900.0
34.08,-118.39,2665.0,500001.0
34.07,-117.91,887.0,189000.0
33.85,-117.85,2427.0,254100.0
38.91,-119.92,984.0,162500.0
37.67,-122.49,2494.0,260300.0
33.65,-117.71,1587.0,307400.0
33.91,-118.36,1366.0,243100.0
33.04,-117.27,1302.0,214600.0
37.3,-121.96,2181.0,303400.0
37.74,-122.16,567.0,129500.0
34.12,-117.47,5690.0,141000.0
34.0,-117.72,2410.0,179700.0
33.75,-118.31,1031.0,396400.0
33.9,-118.19,2677.0,105600.0
32.57,-117.05,2450.0,138000.0
37.71,-122.17,481.0,179800.0
37.49,-122.28,1638.0,457200.0
33.75,-117.91,3842.0,160000.0
34.26,-119.25,1635.0,214900.0
33.86,-118.12,972.0,213600.0
36.96,-120.04,2091.0,51800.0
33.86,-118.38,908.0,329300.0
37.95,-122.35,1318.0,111600.0
33.9,-118.23,840.0,112500.0
33.91,-117.57,1324.0,214600.0
37.55,-122.34,843.0,500001.0
34.05,-118.46,1489.0,387500.0
37.78,-122.19,984.0,156500.0
33.88,-117.99,1261.0,159400.0
36.06,-119.05,1184.0,70600.0
34.15,-119.19,3310.0,185400.0
36.67,-121.62,1507.0,129000.0
33.92,-116.77,1266.0,63000.0
35.79,-119.1,2051.0,49800.0
34.37,-119.06,2504.0,201700.0
39.75,-121.86,856.0,118300.0
34.13,-118.02,980.0,429000.0
34.06,-118.05,1570.0,142000.0
33.98,-118.09,1068.0,172200.0
38.06,-122.51,5162.0,118800.0
34.06,-117.94,2003.0,210200.0
34.02,-118.37,981.0,193200.0
33.85,-118.26,4558.0,197500.0
38.68,-121.28,1478.0,147300.0
33.91,-118.11,597.0,186700.0
33.38,-117.2,2350.0,291500.0
34.11,-118.2,1856.0,156400.0
34.05,-118.38,1133.0,287500.0
32.84,-117.18,1272.0,165100.0
34.4,-119.7,865.0,312500.0
34.3,-118.51,2710.0,344000.0
33.69,-116.39,2186.0,238800.0
32.83,-117.28,933.0,500000.0
40.85,-122.45,892.0,107800.0
33.72,-117.87,2789.0,165900.0
36.31,-119.32,1047.0,87500.0
37.54,-122.27,905.0,500001.0
38.5,-122.71,2324.0,330900.0
36.77,-119.77,2669.0,61900.0
38.64,-121.44,837.0,70500.0
32.8,-117.16,211.0,159700.0
36.65,-119.78,706.0,68400.0
39.78,-122.16,562.0,69600.0
33.86,-118.19,1449.0,155400.0
32.72,-117.09,716.0,111800.0
33.92,-118.29,1735.0,162800.0
37.55,-122.29,2243.0,270100.0
37.61,-120.76,531.0,87900.0
34.22,-118.58,1428.0,228200.0
33.47,-117.67,1081.0,500001.0
34.2,-119.16,3504.0,160300.0
33.18,-117.29,1632.0,111400.0
36.71,-119.57,958.0,84800.0
34.19,-118.15,1126.0,161600.0
34.01,-118.1,2087.0,189200.0
34.04,-118.27,2158.0,118100.0
33.08,-117.25,1311.0,340300.0
34.06,-118.14,1246.0,245700.0
34.04,-118.21,1557.0,148400.0
35.13,-120.66,940.0,236100.0
33.75,-117.92,1511.0,137500.0
39.36,-120.15,694.0,138100.0
33.89,-118.08,1545.0,123400.0
37.91,-122.07,810.0,259800.0
34.05,-117.18,1323.0,122300.0
33.82,-117.93,1848.0,198800.0
32.79,-117.17,946.0,133300.0
36.69,-119.55,1519.0,55900.0
37.94,-122.02,1465.0,213100.0
